SCAN BEGIN -- NO TOUCH; counts are HIGH samples out of 8
baseline: isolated weak UP should be 8, weak DOWN should be 0
BASE D0 GPIO16 up=8 down=0
BASE D1 GPIO17 up=8 down=0
BASE D2 GPIO18 up=8 down=0
BASE D3 GPIO19 up=8 down=0
BASE D4 GPIO2 up=8 down=0
BASE D5 GPIO22 up=8 down=0
BASE D6 GPIO23 up=8 down=0
BASE D7 GPIO5 up=8 down=0
BASE RS GPIO33 up=8 down=0
BASE CS GPIO21 up=8 down=0
PAIR sense=D0/16 drive=D1/17 low=8 high=0
PAIR sense=D0/16 drive=D2/18 low=8 high=0
PAIR sense=D0/16 drive=D3/19 low=8 high=0
PAIR sense=D0/16 drive=D4/2 low=8 high=0
PAIR sense=D0/16 drive=D5/22 low=8 high=0
PAIR sense=D0/16 drive=D6/23 low=8 high=0
PAIR sense=D0/16 drive=D7/5 low=8 high=0
PAIR sense=D0/16 drive=RS/33 low=0 high=8 FOLLOWS
PAIR sense=D0/16 drive=CS/21 low=8 high=0
PAIR sense=D1/17 drive=D0/16 low=8 high=0
PAIR sense=D1/17 drive=D2/18 low=8 high=0
PAIR sense=D1/17 drive=D3/19 low=8 high=0
PAIR sense=D1/17 drive=D4/2 low=8 high=0
PAIR sense=D1/17 drive=D5/22 low=8 high=0
PAIR sense=D1/17 drive=D6/23 low=8 high=0
PAIR sense=D1/17 drive=D7/5 low=8 high=0
PAIR sense=D1/17 drive=RS/33 low=8 high=0
PAIR sense=D1/17 drive=CS/21 low=0 high=8 FOLLOWS
PAIR sense=D2/18 drive=D0/16 low=8 high=0
PAIR sense=D2/18 drive=D1/17 low=8 high=0
PAIR sense=D2/18 drive=D3/19 low=8 high=0
PAIR sense=D2/18 drive=D4/2 low=8 high=0
PAIR sense=D2/18 drive=D5/22 low=8 high=0
PAIR sense=D2/18 drive=D6/23 low=8 high=0
PAIR sense=D2/18 drive=D7/5 low=8 high=0
PAIR sense=D2/18 drive=RS/33 low=8 high=0
PAIR sense=D2/18 drive=CS/21 low=8 high=0
PAIR sense=D3/19 drive=D0/16 low=8 high=0
PAIR sense=D3/19 drive=D1/17 low=8 high=0
PAIR sense=D3/19 drive=D2/18 low=8 high=0
PAIR sense=D3/19 drive=D4/2 low=8 high=0
PAIR sense=D3/19 drive=D5/22 low=8 high=0
