Designator,Mid X,Mid Y,Layer,Rotation
C1,90.000,69.000,top,270
C2,13.000,32.000,top,270
C3,19.000,32.000,top,270
D1,84.000,85.000,top,270
D2,76.000,82.000,top,270
D3,14.000,68.000,top,270
J1,14.000,100.000,top,0
J10,58.000,14.000,top,90
J11,78.000,14.000,top,0
J13,14.000,91.000,top,270
J14,30.000,75.000,top,0
J4,97.000,103.000,top,0
J5,97.000,79.000,top,0
J7,13.000,14.000,top,0
J8,36.000,14.000,top,0
J9,48.000,14.000,top,0
K1,68.000,14.000,top,90
R1,78.000,45.000,top,0
R2,78.000,51.000,top,0
R3,13.000,43.000,top,0
R4,13.000,37.000,top,0
R5,13.000,47.000,top,0
R6,13.000,51.500,top,0
R7,78.000,36.000,top,0
R8,24.000,20.000,top,0
U1,33.000,100.000,top,0
U2,58.000,100.000,top,0
U3A,44.000,81.000,top,0
U3B,69.400,81.000,top,0
U4,97.000,55.000,top,0
